,questions,categories,answers
0,Quais são as condições dos Créditos para Beneficiários do PNCF e PNRA?,Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf,"Os créditos para Beneficiários do PNCF e PNRA são destinados exclusivamente às famílias beneficiárias do Programa Nacional de Reforma Agrária (PNRA) e do Programa Nacional de Crédito Fundiário (PNCF) enquadradas nos Grupos ""A"" e ""A/C"" do Pronaf. Os créditos do Grupo ""A"" são de investimento e devem ser concedidos mediante apresentação de projeto técnico, admitindo-se, a critério da instituição financeira, a substituição do projeto por proposta simplificada, desde que as inversões programadas envolvam técnicas simples e bem assimiladas pelos agricultores da região ou se trate de crédito destinado à ampliação dos investimentos já financiados. O limite é de R$25.000,00 (vinte e cinco mil reais) por beneficiário, podendo ser dividido em até 3 (três) operações. Os encargos financeiros são de 0,5 % a.a. (cinco décimos por cento ao ano) com o benefício de bônus de adimplência de 40% (quarenta por cento) sobre cada parcela do principal paga até a data de seu respectivo vencimento. Aos beneficiários enquadrados no Grupo “A/C” é autorizada a concessão de até 3 créditos de custeio, sendo o limite de financiamento de até R$7.500,00 e os encargos financeiros taxa efetiva de juros de 1,5% a.a. (um inteiro e cinco décimos por cento ao ano)."
1,Quais são os principais tipos de operações de crédito?,"Empréstimo, financiamento e arrendamento mercantil (leasing) Operação de crédito e seus principais tipos","Empréstimo, financiamento e arrendamento mercantil (leasing). Os empréstimos não possuem finalidade específica. Você pode utilizar o valor que pegou emprestado como bem entender.  Nos financiamentos, os recursos financeiros liberados pelo banco devem ser usados com uma finalidade específica, estabelecida em contrato. No arrendamento mercantil, o bem é arrendado, ou seja, o banco (arrendador) é o dono do bem, mas você (arrendatário) tem o direito de usá-lo durante o prazo do contrato. Dessa forma, essas operações também estão vinculadas a uma destinação específica como nos financiamentos. Porém, apesar de o tomador escolher qual será o bem objeto do arrendamento e de poder utilizá-lo durante a vigência do contrato, o bem é propriedade da instituição credora. Veja no quadro abaixo as principais diferenças entre essas operações:"
2,Quais os prazos para pagamento de cheques?,SEM-CATEGORIA,"Existem dois prazos que devem ser observados:prazo de apresentação, que é de 30 dias, a contar da data de emissão, para os cheques emitidos na mesma praça do banco sacado; e de 60 dias para os cheques emitidos em outra praça; eprazo de prescrição, que é de 6 meses decorridos a partir do término do prazo de apresentação. Mesmo após o prazo de apresentação, o cheque é pago se houver fundos na conta. Se não houver, o cheque é devolvido pelo motivo 11 (primeira apresentação) ou 12 (segunda apresentação), sendo, neste caso, o seu nome incluído no CCF. Quando apresentado após o prazo de prescrição, o cheque é devolvido pelo motivo 44, não podendo ser pago pelo banco, mesmo que a conta tenha saldo disponível."
3,Quem pode se associar a uma cooperativa de crédito?,Cooperativas de crédito  Como me associar a uma cooperativa de crédito?,"O ingresso nas cooperativas é livre a todos que desejarem utilizar os serviços prestados pela sociedade, desde que estejam alinhados aos propósitos sociais e preencham condições estabelecidas no estatuto. Contudo, a admissão dos associados poderá ser restrita às pessoas que exerçam determinada atividade ou profissão ou estejam vinculadas a determinada entidade.  Importante! As condições de admissão de associados e a área de atuação da cooperativa de crédito devem constar no seu estatuto social."
4,Quem é responsável pelos dados inseridos no SCR?,Sistema de Informações de Créditos (SCR) Responsabilidade pelos dados,"A responsabilidade pelos dados dos clientes é das instituições com as quais eles contrataram as operações de crédito. São elas as responsáveis por todas as inclusões, correções, exclusões, marcações sub judice e registros de medidas judiciais e de manifestações de discordância sobre os dados."
5,"Autoridades públicas como juízes, promotores e auditores fiscais podem acessar minhas transações no Pix?",Pagamento Instantâneo (Pix) Segurança e proteção de dados no Pix,"As transações realizadas por intermédio do Pix são alcançadas pelo sigilo de que trata a Lei Complementar (LCP) nº 105, de 10 de janeiro de 2001, isto é, constituem informações protegidas pelo chamado sigilo bancário. Assim, autoridades públicas só poderão ter acesso às informações nas restritas hipóteses previstas naquela lei, como, por exemplo, nas situações em que houver decisão judicial específica determinando a revelação dos dados. Autoridades fiscais, nos termos da LCP nº 105, de 2001, apenas terão acesso às informações nos casos em que houver processo administrativo instaurado ou procedimento fiscal em curso e elas forem consideradas indispensáveis para a condução dos trabalhos."
6,Quais os principais tipos de aplicação financeira disponíveis no mercado?,Aplicações financeiras,"As aplicações mais comuns no mercado financeiro são a Poupança, o Certificado de Depósito Bancário (CDB), o Recibo de Depósito Bancário (RDB) e os Fundos de Investimento."
7,Como iniciar a declaração?,CBE - Capitais Brasileiros no Exterior Iniciando a declaração,"Na tela “Lista de declarações”, escolha a data-base da declaração e clique em ‘Criar”. Caso esteja continuando ou completando uma declaração já iniciada, clique em “Acessar”."
8,Qual o fundamento do processo administrativo sancionador?,Processo Administrativo Sancionador Informações gerais,"Por meio do processo administrativo sancionador, o BCB busca tutelar os seguintes bens jurídicos:a estabilidade e a solidez do Sistema Financeiro Nacional (SFN), do Sistema de Consórcios e do SPB;o regular funcionamento das instituições por ele supervisionadas; e o adequado relacionamento das instituições por ele supervisionadas com clientes e usuários de produtos e de serviços financeiros."
9,Sou imigrante e solicitei refúgio no Brasil. Posso abrir uma conta enquanto aguardo o exame do pedido?,Contas de depósitos (conta corrente e conta poupança) Abertura de conta para refugiado ou solicitante de refúgio,"Sim. O Protocolo de Refúgio, de que trata o art. 21 da Lei 9.474, de 1997, é reconhecido pelaCarta Circular 3.813, de 2017, do Banco Central, como documento hábil para identificação de depositantes e, portanto, para abertura de contas corrente ou conta poupança nos bancos, e de contas de pagamento em bancos e instituições de pagamento.   Cabe a cada banco ou instituição de pagamento definir a documentação e as informações que o cliente deve apresentar para fins de abertura de conta. Assim, além do documento de identificação, a instituição pode exigir outros documentos e informações, conforme critérios e procedimentos institucionais próprios.  Além disso, é importante esclarecer que a decisão de abertura de contas a qualquer pessoa cabe aos próprios bancos e instituições de pagamento, inclusive no caso de cidadãos brasileiros, uma vez que essas entidades avaliam os riscos de seus clientes.  Nos casos em que haja interesse do banco ou de instituição de pagamento em abrir conta a solicitante de refúgio, mas os funcionários desconheçam que o Protocolo é documento legítimo para identificação, recomenda-se que o interessado faça referência ou exiba cópia daCarta Circular 3.813.  Saiba mais sobre o que é umbancoe umainstituição de pagamento.  Em caso de dúvidas e reclamações sobre o assunto, o solicitante de refúgio pode entrar em contato com o Banco Central do Brasil pelos canais doFale Conosco."
10,O que é endosso?,Cheques Endosso,"O endosso é a transmissão de um cheque a outra pessoa que não o seu beneficiário original, identificado ou não. Por meio do endosso, o beneficiário do cheque transmite todos os seus direitos sobre o cheque a um terceiro, que se torna o novo beneficiário do cheque."
11,O que são moedas virtuais?,Moedas Virtuais,"As chamadas ""moedas virtuais"" ou ""moedas criptográficas"" são representações digitais de valor, o qual decorre da confiança depositada nas suas regras de funcionamento e na cadeia de participantes.  Não são emitidas por Banco Central, de forma que não se confundem com o padrão monetário do Real, de curso forçado, ou com o padrão de qualquer outra autoridade monetária.  Além disso, não se confundem com a moeda eletrônica prevista na legislação, que se caracteriza como recursos em Reais mantidos em meio eletrônico, em bancos e outras instituições, que permitem ao usuário realizar pagamentos e transferências."
12,Qual o objetivo do cálculo de aplicação com depósitos regulares?,Calculadora do cidadão Aplicação com Depósitos Regulares,"Esse cálculo simula o total de dinheiro que uma pessoa pode acumular, caso realize aplicações mensais e de mesmo valor por meio de depósitos regulares em um determinado número de meses, considerando uma determinada taxa de juros.  Para realizar a simulação, deverão ser preenchidos pelo cidadão três dos quatro campos a seguir: valor do depósito regular, quantidade de meses, taxa de juros mensal e valor obtido ao final. O 4º campo será calculado pela ferramenta. Para realizar o cálculo cliqueaqui."
13,Como os entes públicos podem ter acesso direto ao CCS?,Cadastro de Clientes do Sistema Financeiro Nacional (CCS) Acesso a órgãos e instituições participantes,"De acordo com aResolução BCB nº 124, de 2021, que entra em vigor a partir de 1º de setembro de 2021, o acesso direto às informações do CCS somente poderá ser concedido aos entes públicos com atribuições legais de persecução penal, de controle ou de apuração de irregularidades em que o titular das informações estiver envolvido ou quando houver consentimento do interessado ou estiver presente outra hipótese legal autorizativa.  O acesso do ente público às informações do CCS deverá ser solicitado por meio de:  apresentação de requerimento administrativo, observado o modelo divulgado no Anexo II da Resolução;  termo de adesão, observado o modelo divulgado no anexo III da Resolução;  Os entes públicos aderentes ao Regulamento ficam obrigados a assegurar o devido tratamento às informações obtidas, preservando o sigilo eventualmente incidente."
14,Como devo proceder ao receber dinheiro suspeito de falsificação?,Cédulas Falsas e Suspeitas Identificação de cédulas falsas ou suspeitas,"É importante sempre verificar o dinheiro e seus elementos de segurança. Você não deve aceitar notas ou moedas metálicas suspeitas de falsificação, pois são produtos de ação criminosa.   Se não identificar algum elemento de segurança, recuse a cédula ou a moeda."
